uuid,labeler,name,display_name,category,family_name_1,family_name_2
e0f35eb7-ac65-443f-91fd-f43ecd83bf96,group,Odwalla 8/15.2 Blue Protein,Odwalla 8/15.2 Blue Protein,,Beverages,Prepared and preserved foods
bdbbe7c3-0443-4c68-9792-9a0bf21ee408,group,SD WINSTON BOX 100 - ZZ OH: 0,SD Winston Box 100,01. Cigarettes,Tobacco and smoking products and substitutes,
e755ef9e-8c24-4e7f-bc82-0640d93667f2,group,VEGAN MOZZERELLA SHREDDED 3/5LB,Vegan Mozzerella Shredded 3/5 Lb,Cheeses,Dairy products and eggs,
b8edd228-0108-402a-88b0-8923ceaecd2b,group,"Earth Balance Soy-Free Spread, 15oz x 6",Earth Balance Soy-Free Butter Spread (Retail),Dairy Alternatives - Retail,Dairy products and eggs,
b17ee752-ba00-4724-924a-b2ee17d7b6db,group,KOHLRABI PREORDER,Kohlrabi,Vegetables,Fresh vegetables,
97c7864a-2a36-4482-a4f2-e49b8a6cf3a7,group,Race paper wrapper 25inch (bamboo brand),Race paper wrapper 25inch (bamboo brand),,Prepared and preserved foods,
c78de469-fdc2-4e75-a6dd-87792dbecba2,group,"BONITO DEL NORTE IN OLIVE OIL, ORTIZ, SPAIN, 220 G RED TOP JAR",Bonito Del Norte In Olive Oil,Seafood,Edible oils and fats,
c8b73e44-29bf-4b62-a5ae-2f8ae42ee3a7,group,String Bean,String Bean,,Fresh vegetables,Canned or jarred vegetables
00e72ce1-5d50-46ac-b40f-41b7287336e9,group,NUTS ALMONDS SLICES & BLANCHED 3#,Nuts Almonds Slices & Blanched,Grocery,Nuts and seeds,
853b525e-af50-4360-aa0b-707f36538ffc,group,Baking Soda,Baking Soda,,Bread and bakery products,Prepared and preserved foods
fb1d2846-f97c-47fb-bd9a-f84489e975b3,group,CT PASTA PAPPARDELL - NF OH: 0,CT Pasta Pappardell - NASH,25. NASH Virtual,Prepared and preserved foods,
333c4e65-3a70-4b86-b617-be058ab99665,group,Sliced Beets,Sliced Beets,,Canned or jarred vegetables,Fresh vegetables
e828c8da-748d-42c7-80d1-88f64d715f07,group,SI ZA'ATAR - NF OH: 0,SI Za'atar - NASH,25. NASH Virtual,Seasonings and preservatives,
99618d9b-f63e-4efd-8d39-c75e3f52de8c,group,Cheese Muenster Slic,Cheese Muenster Slic,,Dairy products and eggs,
2e8a95ce-655c-489e-ba42-7f64587cc4e6,group,SMALL CUCUMBER FULL BUSHEL 40#,Small Cucumber Full Bushel,Vegetables,Fresh vegetables,
fc7181c0-d778-4e26-a21a-ead2b042c665,group,CG PS EYELINER INT BLACK - NF OH: 0,CG PS Eyeliner Int Black - NASH,25. NASH Virtual,Personal care products,
